PubmedID,Title,PublicationDate,NonAcademicAuthors,CompanyAffiliations,CorrespondingAuthorEmail
40137440,"Protection and waning of vaccine-induced, natural and hybrid immunity to SARS-CoV-2 in Hong Kong.",2025 Mar 26,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40136995,Advances in Virus Biorecognition and Detection Techniques for the Surveillance and Prevention of Infectious Diseases.,2025 Mar 20,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40136618,Lifestyle and Biochemical Parameters That May Hamper Immune Responses in Pediatric Patients After Immunization with the BNT162b2 mRNA COVID-19 Vaccine.,2025 Mar 10,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40136202,An institutional COVID-19 initiative: creation of a biobank and serological data analysis in pre- and post-vaccination cohorts.,2025,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40136024,"Neutralization and spike stability of JN.1-derived LB.1, KP.2.3, KP.3, and KP.3.1.1 subvariants.",2025 Mar 26,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40135898,Early 2022 breakthrough infection sera from India target the conserved cryptic class 5 epitope to counteract immune escape by SARS-CoV-2 variants.,2025 Mar 26,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40135763,Growing attention of immunogenicity among patients with autoimmune diseases post-SARS-CoV-2 vaccination: meta-analysis and systematic reviews of the current studies.,2025 Dec,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40135710,The Validation Of COVID-19 Information In The Pharmacoepidemiological Research Database of Spain's Public Health System Data by Vaccination Status.,2024 Winter-Spring,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40135475,The conditionality of COVID-19 vaccine acceptance: A qualitative study in Pakistan.,2025 Mar 25,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40132079,Overcoming barriers to medical countermeasures: Strengthening global biosecurity.,2025 Dec,Dr. John Doe,Pfizer Inc.,john@pfizer.com
